step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.692459669720847,0,0.0,0.8904439603860331,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.822881735334807,0,0.0,0.9713410195431835,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.983544432264456,0,0.0,0.9840837730433631,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.807418297431234,0,0.0,0.9078135886733607,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.441363652817524,0,0.0,0.9372425856509334,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.941297480158772,0,0.0,0.9747012336380314,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.698464980512341,0,0.0,0.9705132851282516,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.86769559943145,0,0.0,0.9837888428349298,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.151379564365147,0,0.0,0.963185901822087,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.065999468693732,0,0.0,0.9517250604997767,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.989311208289456,0,0.0,0.935079789874997,0,0.0
70.0,12,0,1,0,12,0,3.0,0.25,12.547871899045807,1,3.0,0.9045518330974377,1,3.0
75.0,14,0,0,0,14,0,0.0,0.0,12.114904831043868,0,7.0,0.9073489298909755,0,7.0
80.0,14,0,1,0,14,0,2.0,0.14285714285714285,11.784822369359777,1,2.0,0.8956239021725803,1,2.0
85.0,16,0,0,0,16,0,0.0,0.0,11.908761285125887,0,6.0,0.8660254188100732,0,6.0
90.0,16,0,0,0,16,0,0.0,0.0,12.674225786481795,0,0.0,0.9489066000341261,0,0.0
95.0,20,0,0,0,20,0,0.0,0.0,12.184655925235656,0,1.0,0.867304265676596,0,1.0
100.0,24,0,0,0,24,0,0.0,0.0,12.68086455136036,0,0.0,0.9258031473030346,0,0.0
105.0,27,0,0,0,27,0,0.0,0.0,12.59367474607711,0,1.0,0.9070704989134736,0,1.0
110.0,29,0,0,0,29,0,0.0,0.0,13.085003569206362,0,0.0,0.9580978096158485,0,0.0
115.0,29,0,0,0,29,0,0.0,0.0,11.707673093247257,0,0.0,0.8193047421463302,0,0.0
120.0,30,0,3,0,30,0,11.0,0.36666666666666664,11.670933948879355,3,11.0,0.8372818229216541,3,11.0
125.0,33,0,2,1,34,0,17.0,0.5151515151515151,11.796755460291424,2,25.0,0.8400450670148066,2,25.0
130.0,34,0,2,1,35,0,17.0,0.5,12.05749995884738,2,17.0,0.8846466758801719,2,17.0
135.0,37,0,2,1,38,0,27.0,0.7297297297297297,12.341704311206149,2,27.0,0.8764405037765505,2,27.0
140.0,39,0,3,2,41,0,40.0,1.0256410256410255,12.224071313595312,3,40.0,0.8563629511946911,3,40.0
145.0,40,0,3,3,43,0,49.0,1.225,11.708945622282442,3,56.0,0.8234166668369961,3,56.0
150.0,44,0,4,3,47,0,69.0,1.5681818181818181,11.323603139792603,4,69.0,0.8061891422032815,4,69.0
155.0,45,0,4,3,48,0,81.0,1.8,10.831940700204067,4,96.0,0.7480242287478831,4,96.0
160.0,50,0,5,5,55,0,100.0,2.0,10.16175247944121,5,100.0,0.7356587421684171,5,100.0
165.0,53,0,6,5,58,0,120.0,2.2641509433962264,10.297076576135035,6,134.0,0.7179374678047706,6,134.0
170.0,56,0,8,5,61,0,159.0,2.8392857142857144,10.843266711753154,8,159.0,0.7646084226982973,8,159.0
175.0,59,0,5,7,66,0,168.0,2.847457627118644,10.789188905976035,5,196.0,0.7447351408270748,5,196.0
180.0,63,0,6,9,72,0,198.0,3.142857142857143,11.197960396565035,6,198.0,0.8271335726335991,6,198.0
185.0,66,0,5,9,75,0,218.0,3.303030303030303,11.055687954644643,5,227.0,0.8131039072309836,5,227.0
190.0,73,0,7,9,82,0,250.0,3.4246575342465753,11.267653636109767,7,250.0,0.8026940952051613,7,250.0
195.0,77,0,9,10,87,0,291.0,3.779220779220779,11.51738353277093,9,291.0,0.8045866389305788,9,291.0
200.0,79,0,9,11,90,0,336.0,4.253164556962025,11.7984471659466,9,336.0,0.8169903623552619,9,336.0
205.0,79,0,10,12,91,0,382.0,4.8354430379746836,11.520910123187043,10,382.0,0.7843698906961405,10,382.0
210.0,80,0,13,14,94,0,440.0,5.5,11.011805213901601,13,440.0,0.7389784233190863,13,440.0
215.0,85,1,15,16,101,0,511.0,6.011764705882353,10.855838961712337,15,511.0,0.7229912431134239,15,511.0
220.0,91,0,15,18,109,0,586.0,6.43956043956044,11.0354941362679,15,586.0,0.7477271699236892,15,586.0
225.0,93,0,13,20,113,0,500.0,5.376344086021505,10.759796818854033,13,659.0,0.7231111996664003,13,659.0
230.0,97,0,18,22,119,0,567.0,5.845360824742268,10.240758418952835,18,567.0,0.697689385822624,18,567.0
235.0,103,0,20,23,126,0,637.0,6.184466019417476,9.662946694930055,20,664.0,0.6470233894304523,20,664.0
240.0,108,0,16,24,132,0,697.0,6.453703703703703,9.998540194377007,16,705.0,0.7057339015431618,16,705.0
245.0,108,0,18,27,135,0,782.0,7.2407407407407405,9.978466033279037,18,785.0,0.6929264628149524,18,785.0
250.0,112,0,21,30,142,0,880.0,7.857142857142857,10.149044183833793,21,880.0,0.6789515681153271,21,880.0
255.0,114,0,18,30,144,0,660.0,5.7894736842105265,10.418125948843942,18,987.0,0.6712985152902377,18,987.0
260.0,119,0,9,32,151,0,484.0,4.067226890756302,10.872688442083344,9,535.0,0.7852612009548792,9,535.0
265.0,123,0,9,33,156,0,510.0,4.146341463414634,10.77041575886853,9,585.0,0.7459802260256452,9,585.0
270.0,124,0,14,36,160,0,569.0,4.588709677419355,10.825900239258141,14,620.0,0.7648131350067249,14,620.0
275.0,129,0,17,39,168,0,642.0,4.976744186046512,10.994117302354919,17,693.0,0.7485646280260909,17,693.0
280.0,133,0,19,39,172,0,729.0,5.481203007518797,10.997424174730758,19,780.0,0.7104953275293614,19,780.0
285.0,141,0,23,40,181,0,840.0,5.957446808510638,10.89256869132784,23,891.0,0.6836729237130617,23,891.0
290.0,146,0,26,42,188,0,963.0,6.595890410958904,10.776560128469987,26,1015.0,0.6701933971470808,26,1015.0
295.0,149,0,29,44,193,0,1104.0,7.409395973154362,10.705545298244427,29,1156.0,0.6567211075974224,29,1156.0
300.0,151,0,32,47,198,0,1255.0,8.311258278145695,10.430938076845568,32,1307.0,0.6254227483854542,32,1307.0
305.0,151,0,34,52,203,0,1419.0,9.397350993377483,10.239351555762806,34,1471.0,0.6146705166258875,34,1471.0
310.0,149,0,35,58,207,0,1594.0,10.697986577181208,10.184289193483224,35,1646.0,0.6086361008493103,35,1646.0
315.0,148,0,35,63,211,0,1769.0,11.952702702702704,10.09558554171186,35,1821.0,0.603872548608998,35,1821.0
320.0,147,0,36,69,216,0,1949.0,13.258503401360544,9.90906510683406,36,2001.0,0.605121433921109,36,2001.0
325.0,146,0,39,75,221,0,2140.0,14.657534246575343,9.609415821945417,39,2192.0,0.5733703899617837,39,2192.0
330.0,145,0,37,80,225,0,1988.0,13.710344827586207,9.209421663218842,37,2394.0,0.5472961014617415,37,2394.0
335.0,148,0,18,87,235,0,1380.0,9.324324324324325,9.185420631697262,18,1797.0,0.6100740079053407,18,1797.0
340.0,154,0,18,90,244,0,1462.0,9.493506493506494,9.749209766471779,18,1625.0,0.6608989546407699,18,1625.0
345.0,161,0,27,91,252,0,1548.0,9.614906832298137,9.477297265241576,27,1747.0,0.590101887926538,27,1747.0
350.0,163,0,35,95,258,0,1699.0,10.423312883435583,9.469131774857198,35,1863.0,0.6018517053433852,35,1863.0
355.0,164,0,39,102,266,0,1890.0,11.524390243902438,9.387440566860219,39,2053.0,0.589228908203934,39,2053.0
360.0,168,0,42,105,273,0,2094.0,12.464285714285714,9.546982673644987,42,2257.0,0.5835238653002207,42,2257.0
365.0,175,1,43,107,282,0,2308.0,13.188571428571429,9.842576047738234,43,2471.0,0.6023400234285124,43,2471.0
370.0,173,0,45,114,287,0,2527.0,14.606936416184972,9.618378510362163,45,2690.0,0.5878345385166753,45,2690.0
375.0,176,0,50,116,292,0,2766.0,15.715909090909092,9.363098413529189,50,2929.0,0.5733542770943795,50,2929.0
380.0,179,1,53,117,296,0,3028.0,16.916201117318437,9.210278502167487,53,3191.0,0.5531055713441018,53,3191.0
385.0,185,0,56,119,304,0,3304.0,17.85945945945946,9.14207945669472,56,3467.0,0.548213203610465,56,3467.0
390.0,186,1,60,124,310,0,3597.0,19.338709677419356,8.892739480114583,60,3760.0,0.5237026526852546,60,3760.0
395.0,195,0,63,126,321,0,3908.0,20.04102564102564,8.856409140174993,63,4071.0,0.5279450524986776,63,4071.0
400.0,194,0,63,133,327,0,4223.0,21.7680412371134,8.844318484287038,63,4386.0,0.5354494368672136,63,4386.0
405.0,193,1,62,140,333,0,4172.0,21.616580310880828,8.277591474443906,62,4703.0,0.4968230537998707,62,4703.0
410.0,188,0,44,150,338,0,3034.0,16.138297872340427,7.878373072522683,44,4137.0,0.49881055666479857,44,4137.0
415.0,189,0,39,154,343,0,2923.0,15.465608465608465,8.030697903881851,39,3878.0,0.5091664973512197,39,3878.0
420.0,191,0,40,160,351,0,3116.0,16.31413612565445,8.60096251949069,40,3561.0,0.5463610020463583,40,3561.0
425.0,199,2,45,162,361,0,3336.0,16.763819095477388,9.251259311811285,45,3408.0,0.566307636209384,45,3408.0
430.0,206,0,50,163,369,0,3195.0,15.509708737864077,9.293609245412789,50,3618.0,0.5384940020203187,50,3618.0
435.0,217,0,54,166,383,0,2787.0,12.84331797235023,9.082570623984987,54,3334.0,0.5364840031916922,54,3334.0
440.0,226,1,55,169,395,0,2872.0,12.70796460176991,9.038174969355083,55,3586.0,0.5428444322185924,55,3586.0
445.0,232,2,47,174,406,0,2681.0,11.556034482758621,9.216030111933593,47,3491.0,0.5900598813015765,47,3491.0
450.0,242,1,49,177,419,0,2919.0,12.061983471074381,9.500250470405714,49,3578.0,0.6163166321214161,49,3578.0
455.0,252,0,53,178,430,0,3172.0,12.587301587301587,9.782751130503476,53,3734.0,0.6241098695808452,53,3734.0
460.0,259,0,58,179,438,0,3449.0,13.316602316602317,10.037460458833502,58,3994.0,0.6130803524830788,58,3994.0
465.0,260,0,59,185,445,0,3689.0,14.188461538461539,9.974646253315509,59,4077.0,0.6087494542398023,59,4077.0
470.0,262,0,59,192,454,0,3828.0,14.610687022900763,9.728838959429249,59,4052.0,0.6034527760981323,59,4052.0
475.0,269,0,61,200,469,0,4087.0,15.193308550185874,9.46781964536681,61,4356.0,0.5932026241650549,61,4356.0
480.0,275,1,68,209,484,0,4402.0,16.007272727272728,9.187567379621967,68,4655.0,0.5809145003896727,68,4655.0
485.0,275,2,78,220,495,0,4771.0,17.349090909090908,9.149479206437883,78,5024.0,0.5748348054878526,78,5024.0
490.0,272,0,85,231,503,0,5156.0,18.955882352941178,8.664998769425669,85,5434.0,0.5343575809647929,85,5434.0
495.0,280,1,88,232,512,0,5533.0,19.760714285714286,8.645300933763183,88,5727.0,0.5336168880632662,88,5727.0
500.0,284,0,94,234,518,0,5574.0,19.62676056338028,8.170795518717213,94,6186.0,0.4886141473813752,94,6186.0
505.0,290,0,82,237,527,0,4499.0,15.513793103448275,7.762670768923855,82,5794.0,0.46718360773349465,82,5794.0
510.0,291,0,76,249,540,0,4238.0,14.563573883161512,7.871670524546343,76,5832.0,0.48833368031117835,76,5832.0
515.0,292,0,67,258,550,0,4343.0,14.873287671232877,8.367871578737258,67,5548.0,0.5277291263435424,67,5548.0
520.0,289,0,68,269,558,0,4624.0,16.0,8.664332553877895,68,5310.0,0.532149194239852,68,5310.0
525.0,291,0,77,274,565,0,4788.0,16.45360824742268,8.406446265558884,77,5682.0,0.4850724223125502,77,5682.0
530.0,302,1,74,276,578,0,4536.0,15.019867549668874,8.122381549469736,74,5691.0,0.47139058365156933,74,5691.0
535.0,302,1,69,284,586,0,4704.0,15.57615894039735,7.915326156226006,69,5878.0,0.45820741437686086,69,5878.0
540.0,308,0,81,287,595,0,5074.0,16.474025974025974,8.071897331827538,81,5984.0,0.45650677447496774,81,5984.0
545.0,316,0,91,290,606,0,5513.0,17.446202531645568,8.543950905130803,91,6270.0,0.4782425997133175,91,6270.0
550.0,325,0,96,293,618,0,5987.0,18.42153846153846,8.906857414217397,96,6679.0,0.4897228480283024,96,6679.0
555.0,335,1,99,293,628,0,6478.0,19.33731343283582,9.055542839257816,99,7164.0,0.485640807601092,99,7164.0
560.0,338,0,108,297,635,0,6991.0,20.683431952662723,8.880438184943541,108,7677.0,0.451332081768812,108,7677.0
565.0,338,2,111,307,645,0,7308.0,21.62130177514793,8.313407646754827,111,8238.0,0.41216300299953906,111,8238.0
570.0,342,3,96,317,659,0,6804.0,19.894736842105264,8.231152857933818,96,8052.0,0.4424980686299362,96,8052.0
575.0,346,0,83,329,675,0,6712.0,19.398843930635838,8.36394176530965,83,8154.0,0.47598700624659923,83,8154.0
580.0,349,0,75,337,686,0,6648.0,19.048710601719197,8.819003624988383,75,8031.0,0.5145377163034914,75,8031.0
585.0,350,0,68,343,693,0,6771.0,19.345714285714287,9.340416729265357,68,7892.0,0.5459488881391427,68,7892.0
590.0,354,0,70,349,703,0,7067.0,19.963276836158194,9.523476111391654,70,7948.0,0.5465333673890523,70,7948.0
595.0,355,1,76,356,711,0,7434.0,20.940845070422537,9.510237223433156,76,8062.0,0.5378515917104745,76,8062.0
600.0,349,0,85,372,721,0,7844.0,22.4756446991404,9.450502533992735,85,8251.0,0.5385025508611856,85,8251.0
605.0,343,0,92,388,731,0,8287.0,24.160349854227405,9.288631041849941,92,8505.0,0.5302099455553302,92,8505.0
610.0,339,1,99,399,738,0,8558.0,25.244837758112094,8.745639931481373,99,8983.0,0.4835382741259935,99,8983.0
615.0,344,2,103,411,755,0,8150.0,23.691860465116278,8.332503224647644,103,8988.0,0.46373378821645905,103,8988.0
620.0,346,0,112,420,766,0,8061.0,23.297687861271676,7.908979894849257,112,9534.0,0.4386818414673566,112,9534.0
625.0,351,0,102,424,775,0,7487.0,21.33048433048433,7.671253255237614,102,9440.0,0.42645889176438406,102,9440.0
630.0,354,0,96,430,784,0,7531.0,21.274011299435028,7.707904334431615,96,9681.0,0.4286280586528293,96,9681.0
635.0,352,1,96,445,797,0,7943.0,22.56534090909091,7.955047726329135,96,9700.0,0.46244689664233857,96,9700.0
640.0,357,1,102,454,811,0,8441.0,23.644257703081234,8.435923352411614,102,9876.0,0.49657144675689924,102,9876.0
645.0,356,0,110,465,821,0,8920.0,25.0561797752809,8.129955367589456,110,10344.0,0.46353119654133434,110,10344.0
650.0,347,0,124,480,827,0,9282.0,26.7492795389049,7.577598248833229,124,10399.0,0.4256075307991673,124,10399.0
655.0,350,0,140,485,835,0,9871.0,28.202857142857145,7.3331239535626755,140,10834.0,0.4093189820296919,140,10834.0
660.0,346,0,148,498,844,0,10574.0,30.560693641618496,6.9590401038064265,148,11185.0,0.39005481980060375,148,11185.0
665.0,344,0,160,508,852,0,11351.0,32.997093023255815,6.6970855808194765,160,11691.0,0.36850818874976143,160,11691.0
670.0,352,3,164,511,863,0,11816.0,33.56818181818182,6.472862540758022,164,12510.0,0.3513579393861373,164,12510.0
675.0,360,1,150,512,872,0,11033.0,30.647222222222222,6.38028882022629,150,12546.0,0.3486369344680755,150,12546.0
680.0,368,0,141,515,883,0,10832.0,29.434782608695652,6.47772394074098,141,12886.0,0.3529367526472147,141,12886.0
685.0,371,2,126,521,892,0,11010.0,29.67654986522911,6.773011232859068,126,12988.0,0.36791305376644634,126,12988.0
690.0,376,1,125,531,907,0,11524.0,30.648936170212767,6.977678276132432,125,12856.0,0.377993137505112,125,12856.0
695.0,373,0,126,545,918,0,12148.0,32.56836461126005,7.398128067076632,126,13013.0,0.4125405339735181,126,13013.0
700.0,372,0,138,556,928,0,12478.0,33.543010752688176,7.05515524847361,138,13676.0,0.3885259276795312,138,13676.0
705.0,381,1,131,561,942,0,11606.0,30.46194225721785,6.761284376946221,131,13609.0,0.3759711939668998,131,13609.0
710.0,389,0,129,564,953,0,11116.0,28.575835475578405,6.849300110044129,129,13850.0,0.3811826491711239,129,13850.0
715.0,395,1,123,570,965,0,11161.0,28.255696202531645,7.034166179168244,123,13818.0,0.39112961797366735,123,13818.0
720.0,400,0,119,576,976,0,11668.0,29.17,7.548102515850278,119,13725.0,0.42360139568176347,119,13725.0
725.0,414,1,121,578,992,0,12242.0,29.570048309178745,8.076541665619981,121,13684.0,0.45670349754785444,121,13684.0
730.0,418,1,128,581,999,0,12856.0,30.75598086124402,8.263170319191493,128,13865.0,0.45369421903888274,128,13865.0
735.0,426,0,138,585,1011,0,12460.0,29.248826291079812,8.025364831482266,138,14495.0,0.42822785649702094,138,14495.0
740.0,432,0,152,591,1023,0,8725.0,20.19675925925926,7.629149336778109,152,13153.0,0.39804336225136283,152,13153.0
745.0,428,0,164,608,1036,0,7024.0,16.411214953271028,7.167072359620944,164,12969.0,0.3762750208871632,164,12969.0
750.0,422,1,175,624,1046,0,6310.0,14.95260663507109,6.918684712498016,175,12158.0,0.3722710624822608,175,12158.0
755.0,427,1,179,632,1059,0,6090.0,14.262295081967213,6.765025495907509,179,10914.0,0.35978055741263293,179,10914.0
760.0,434,0,188,637,1071,0,6592.0,15.188940092165899,6.814525889874186,188,10673.0,0.3623208723412653,188,10673.0
765.0,442,1,192,642,1084,0,6702.0,15.16289592760181,6.422715678804525,192,11316.0,0.3356105737465252,192,11316.0
770.0,448,1,176,652,1100,0,5636.0,12.580357142857142,6.343140620132843,176,11228.0,0.3483923563564216,176,11228.0
775.0,454,0,172,664,1118,0,5048.0,11.118942731277533,6.310202279429584,172,11369.0,0.3593545556085769,172,11369.0
780.0,448,0,162,680,1128,0,4750.0,10.602678571428571,6.32302378663583,162,11319.0,0.36298605741876316,162,11319.0
785.0,449,0,160,694,1143,0,4881.0,10.870824053452116,6.553047438810433,160,11183.0,0.3766455696445464,160,11183.0
790.0,450,0,156,708,1158,0,5531.0,12.29111111111111,6.896082015441233,156,11148.0,0.4028583846865115,156,11148.0
795.0,458,0,162,712,1170,0,6314.0,13.786026200873362,7.127217829858452,162,11251.0,0.40453765542078746,162,11251.0
800.0,471,0,170,716,1187,0,7146.0,15.171974522292993,7.476325439482954,170,11598.0,0.4281843713312193,170,11598.0
805.0,483,2,175,721,1204,0,8014.0,16.592132505175982,7.7742908740667875,175,12017.0,0.44216301202332825,175,12017.0
810.0,492,2,183,728,1220,0,8913.0,18.115853658536587,7.857504473796729,183,12725.0,0.44169096676399106,183,12725.0
815.0,504,2,189,730,1234,0,9843.0,19.529761904761905,7.7219908392736345,189,13603.0,0.4181120457226207,189,13603.0
820.0,514,1,200,734,1248,0,10828.0,21.06614785992218,7.614568055263076,200,14572.0,0.39353878714770785,200,14572.0
825.0,524,1,214,736,1260,0,11880.0,22.671755725190838,7.461625280827053,214,15621.0,0.3691955529773485,214,15621.0
830.0,530,0,223,745,1275,0,12977.0,24.484905660377358,7.3472045447862735,223,16718.0,0.36267444689734585,223,16718.0
835.0,540,2,228,752,1292,0,14113.0,26.135185185185186,7.357237592350385,228,17854.0,0.36697785217256385,228,17854.0
840.0,541,1,235,766,1307,0,15271.0,28.22735674676525,7.165770977542149,235,19012.0,0.3585215390793674,235,19012.0
845.0,542,2,247,779,1321,0,16479.0,30.404059040590408,6.97705615473225,247,20220.0,0.34753593719369874,247,20220.0
850.0,547,0,255,788,1335,0,17738.0,32.42778793418647,6.927964550541558,255,21479.0,0.34899106941760366,255,21479.0
855.0,537,0,262,807,1344,0,19031.0,35.43947858472998,6.540043967533152,262,22772.0,0.32711679967831714,262,22772.0
860.0,536,0,268,823,1359,0,20367.0,37.99813432835821,6.333723767208836,268,24108.0,0.31866620987702393,268,24108.0
865.0,537,0,275,840,1377,0,21730.0,40.465549348230915,6.146261920625945,275,25471.0,0.31892397508593934,275,25471.0
870.0,531,1,284,857,1388,0,23137.0,43.57250470809793,5.952178704542976,284,26878.0,0.3086533480787467,284,26878.0
875.0,536,2,292,866,1402,0,24583.0,45.86380597014925,5.877961742972381,292,28324.0,0.303098435977683,292,28324.0
880.0,534,2,302,880,1414,0,26065.0,48.81086142322097,5.635286106970668,302,29806.0,0.285273991349476,302,29806.0
885.0,538,1,304,889,1427,0,26687.0,49.60408921933085,5.316932592900118,304,31332.0,0.2675978333056547,304,31332.0
890.0,538,1,297,903,1441,0,24021.0,44.64869888475837,5.049960291617245,297,30846.0,0.2647488765303752,297,30846.0
895.0,539,0,286,913,1452,0,21798.0,40.44155844155844,5.026209979667075,286,31369.0,0.270266091358591,286,31369.0
900.0,552,0,273,915,1467,0,19849.0,35.958333333333336,5.252195939241105,273,30934.0,0.27759364421469945,273,30934.0
905.0,560,0,267,919,1479,0,18394.0,32.84642857142857,5.562699691397399,267,29781.0,0.2852384994582972,267,29781.0
910.0,559,0,252,928,1487,0,17174.0,30.722719141323793,5.743462749491915,252,29404.0,0.29159629635420675,252,29404.0
915.0,568,4,224,935,1503,0,15581.0,27.431338028169016,5.959781241191171,224,28147.0,0.30166909493370075,224,28147.0
920.0,576,0,208,941,1517,0,15097.0,26.210069444444443,6.206947211205137,208,27556.0,0.31242585040506954,208,27556.0
925.0,580,3,203,951,1531,0,15069.0,25.98103448275862,6.44395702498571,203,26860.0,0.32720308479292687,203,26860.0
930.0,585,4,199,960,1545,0,15444.0,26.4,6.702350141900414,199,26417.0,0.34801825826985466,199,26417.0
935.0,592,4,193,968,1560,0,15444.0,26.08783783783784,6.595188822466796,193,27291.0,0.3428594997651131,193,27291.0
